Sender_Timestamp                                         Forwarder_Timestamp                                         Receiver_Timestamp
NEW RUN ON: 2025-02-18 14:39:50.127.027491689
Sender_Timestamp: 2025-02-18 14:42:22.855.855295689  Forwarder_Timestamp: 2025-02-18 14:42:27.241.241093893  Receiver_Timestamp: 2025-02-18 14:42:28.286.086985223 Message:  Mode: Not connected23:kUce
Sender_Timestamp: 2025-02-18 14:42:23.855.855374987  Forwarder_Timestamp: 2025-02-18 14:42:28.236.236950091  Receiver_Timestamp: 2025-02-18 14:42:29.281.081335379 Message:  Mode: Not connected22:kUce
Sender_Timestamp: 2025-02-18 14:42:25.855.855374782  Forwarder_Timestamp: 2025-02-18 14:42:30.344.344695663  Receiver_Timestamp: 2025-02-18 14:42:31.389.089092044 Message:  Mode: Not connected20:kUce
Sender_Timestamp: 2025-02-18 14:42:26.855.855321007  Forwarder_Timestamp: 2025-02-18 14:42:31.238.238378058  Receiver_Timestamp: 2025-02-18 14:42:32.284.084907930 Message:  Mode: Not connected19:kUce
Sender_Timestamp: 2025-02-18 14:42:27.855.855361972  Forwarder_Timestamp: 2025-02-18 14:42:32.246.246042641  Receiver_Timestamp: 2025-02-18 14:42:33.290.090453815 Message:  Mode: Not connected18:kUce
Sender_Timestamp: 2025-02-18 14:42:28.855.855359186  Forwarder_Timestamp: 2025-02-18 14:42:33.239.239088370  Receiver_Timestamp: 2025-02-18 14:42:34.284.084316627 Message:  Mode: Not connected17;kUce
Sender_Timestamp: 2025-02-18 14:42:29.855.855363484  Forwarder_Timestamp: 2025-02-18 14:42:34.239.239670193  Receiver_Timestamp: 2025-02-18 14:42:35.285.085638241 Message:  Mode: Not connected16;kUce
Sender_Timestamp: 2025-02-18 14:42:30.855.855392574  Forwarder_Timestamp: 2025-02-18 14:42:35.246.246536442  Receiver_Timestamp: 2025-02-18 14:42:36.290.090972928 Message:  Mode: Not connected15;kUce
Sender_Timestamp: 2025-02-18 14:42:31.855.855377706  Forwarder_Timestamp: 2025-02-18 14:42:36.241.241092848  Receiver_Timestamp: 2025-02-18 14:42:37.285.085594386 Message:  Mode: Not connected14;kUce
Sender_Timestamp: 2025-02-18 14:42:32.855.855391014  Forwarder_Timestamp: 2025-02-18 14:42:37.245.245302275  Receiver_Timestamp: 2025-02-18 14:42:38.289.089736990 Message:  Mode: Not connected13;kUce
